"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
8957,1541675,-137578,7966.629,4860.000,1733.000,1452.000,362.000,2701.297,608.641,129570.766,31210.943,14469.386,6464.153,208979.969,86139.070,546.805,425.389
10378,1465338,-392037,4949.054,4677.000,3773.000,2886.000,2389.000,3837.682,47.165,45642.730,6607.709,7666.338,5322.511,196734.062,55620.438,804.610,615.476
5606,1668905,396787,12761.210,8724.000,1559.000,7753.000,1771.000,952.677,1864.715,89955.914,6669.577,16993.963,2819.310,208349.859,32434.504,524.577,215.072
11786,1363554,-722835,819.147,358.000,182.000,"","",241.471,7.750,22590.293,1541.436,3010.498,1270.145,203440.719,33369.906,842.987,389.397
3944,625621,651247,11631.129,14.000,"","","","",14.072,124863.891,285.404,15885.046,30.762,212259.422,4348.870,506.020,139.092
5277,1643459,447679,40362.641,22691.000,12.000,8029.000,86.000,"",943.062,152041.891,4870.018,40619.617,582.727,212830.047,19012.090,760.152,429.474
5377,14918,422233,1383.352,"","","","","",2.069,237148.375,30824.391,16898.852,160.207,209962.625,32254.496,530.105,442.166
12279,91256,-900957,575.982,"","","","",231.616,0.057,74463.406,13058.076,4344.058,477.187,203885.797,29544.287,975.316,522.554
12491,1592567,-1053632,2.775,11.000,10.000,"","",0.237,0.011,92976.828,22496.777,113.573,45.209,212715.219,57859.012,721.658,516.930
3152,1592567,778477,47534.789,18317.000,"",342.000,7.000,"",393.615,261046.594,20946.242,156814.406,1177.375,215294.578,47020.023,639.167,344.440
4969,-1995313,473125,62.733,"","","","","",0.420,70399.352,1570.036,1572.552,6.636,214122.094,8297.135,650.234,131.016
5453,-2224327,396787,1993.279,"","","","","",12.101,71767.391,4498.374,8023.804,67.949,211943.656,35263.887,658.766,276.608
8783,1058202,-112132,8838.481,5567.000,708.000,722.000,77.000,922.905,140.147,74416.430,1707.521,21655.770,1774.805,210939.547,11407.168,798.008,144.315
9269,-1918975,-213916,71.687,"","","","","",0.133,32616.244,35.234,1196.523,17.864,206112.391,14649.263,488.115,97.867
2655,193040,854815,3848.051,"","","","","",2.027,61947.000,84.752,12672.111,20.725,211465.719,12585.906,311.099,38.586
3952,930972,651247,6534.921,140.000,"","","","",8.597,202894.547,11325.854,13573.366,56.080,218494.078,28681.287,674.361,499.297
4579,574729,549463,15730.671,37.000,"","","","",36.528,208402.469,12891.712,55806.973,228.344,222981.828,35246.551,872.306,676.487
11855,829189,-748281,3795.240,720.000,262.000,"","",1295.583,138.776,156373.219,35032.652,27432.986,11644.785,218269.000,61335.352,1733.605,1130.408
2702,1974257,854815,20815.395,11293.000,"",7012.000,6.000,"",38.565,48659.465,281.410,36405.324,24.664,219706.000,4812.424,445.040,54.206
8320,1389000,-35794,8177.201,4745.000,807.000,2472.000,229.000,1152.317,137.324,154372.078,41192.719,37583.738,11835.591,218603.531,62398.727,735.396,421.937
9859,-1511840,-315700,22.658,"","","","","",0.024,18775.828,1314.929,934.672,12.710,212621.500,17910.828,673.946,153.872
5276,1618013,447679,19490.678,15675.000,8.000,6831.000,87.000,"",427.216,155981.344,6472.886,38239.637,597.458,226065.422,24269.299,1091.998,713.053
12217,14918,-875511,1723.970,"","","","",1125.924,2.379,11014.978,2442.937,5158.949,3157.255,203538.844,22264.332,517.662,130.463
2954,218485,803923,3632.034,"","","","","",11.701,38394.586,70.090,10542.190,12.255,222200.078,12654.840,196.680,88.032
9962,1109094,-315700,6508.733,1985.000,492.000,76.000,11.000,1418.084,14.699,24871.414,2656.982,15574.571,2946.667,216561.047,39166.113,1376.980,535.561
7056,1592567,167774,12228.780,9618.000,5206.000,7463.000,4060.000,5705.833,553.349,77884.617,3996.396,11723.855,4640.675,221376.469,24760.611,958.651,263.382
